repo_name, access
Enterprise-Collaboration/ac-sandbox, admin
Enterprise-Collaboration/eSearch, admin
Enterprise-Collaboration/mashup-widgets, admin
Enterprise-Collaboration/Portal8-Services, admin
Enterprise-Collaboration/ProxyVoting, admin
Enterprise-Collaboration/ReportRegistry, admin
Enterprise-Collaboration/Test-repo, admin
