repo_name, access
Trade-Efficiencies-TS/Demo, admin
Trade-Efficiencies-TS/HelloWorld, admin
Trade-Efficiencies-TS/OTPP.Reports.POC.Tools.RepoBondReportComparer, admin
Trade-Efficiencies-TS/OTPP.TETool.CRDLogAnalyzer, admin
Trade-Efficiencies-TS/OTPP.TETool.FindDependency, admin
Trade-Efficiencies-TS/OTPP.TETool.ReptileUtility, admin
Trade-Efficiencies-TS/OTPP.TETool.TIBCO.FileRouter, admin
