username, site_admin
chenle, false
chenma, false
digiacm, true
jeanw, false
kumarr, false
lir, false
narayak, false
rasarag, false
rosenj, false
sapozha, false
sturgea2, true
svc-AppBuilder-prod, true
wadea, false
wuji2, false
yiut, false
zabashk, true
