created_at,owner_id,owner_type,owner_name,id,name,visibility,readable_size,raw_size,collaborators,fork?,deleted?
2015-01-14 11:37:55 UTC,6,Organization,Enterprise-Collaboration,1,eSearch,public,4.66MB,4660,0,false,false
2015-01-14 11:38:47 UTC,6,Organization,Enterprise-Collaboration,2,mashup-widgets,public,35.16MB,35156,0,false,false
2015-01-14 11:39:08 UTC,6,Organization,Enterprise-Collaboration,3,Portal8-Services,public,548KB,548,0,false,false
2015-01-14 11:39:21 UTC,6,Organization,Enterprise-Collaboration,4,ReportRegistry,public,5.73MB,5732,0,false,false
2015-01-14 11:39:41 UTC,6,Organization,Enterprise-Collaboration,5,Test-repo,public,56KB,56,0,false,false
2015-01-14 11:39:53 UTC,6,Organization,Enterprise-Collaboration,6,ProxyVoting,public,9.42MB,9424,0,false,false
2015-01-14 11:40:03 UTC,40,Organization,EC-Sharepoint,7,SPEVNAdmin,public,9.97MB,9968,0,false,false
2015-01-14 11:40:46 UTC,48,Organization,TF-InvestmentsPortal-IDCC,8,IDCC-ng_iWidget_BoilerPlate,public,1.99MB,1988,0,false,false
2015-01-14 11:41:32 UTC,8,Organization,Trade-Efficiencies-TS,9,HelloWorld,public,104KB,104,0,false,false
2015-01-14 11:41:41 UTC,8,Organization,Trade-Efficiencies-TS,10,Demo,public,100KB,100,0,false,false
2015-01-14 11:42:01 UTC,139,Organization,Trade-Efficiencies-RepoManager,11,OTPP.RepoManager.RepoManagerClientApp,public,34.53MB,34527,0,false,false
2015-01-14 11:42:27 UTC,9,Organization,Investment-IT-Architecture,12,Portal-Widgets,public,100KB,100,0,false,false
2015-01-14 11:42:54 UTC,10,Organization,Trade-Efficiencies-Common,13,TIBCO-Message-Service,public,772KB,772,0,false,false
2015-01-14 11:43:19 UTC,10,Organization,Trade-Efficiencies-Common,14,SSIS-TIBCO-Orchestration,public,168KB,168,0,false,false
2015-01-14 11:43:51 UTC,11,Organization,TE-BI-One-PnL,15,One-PnL-SSIS-TIBCO-Orchestration,public,204KB,204,0,false,false
2015-01-14 11:44:09 UTC,44,Organization,TE-BI-Continuous-Integration-Framework,16,PowerDoc-Legacy,public,1.76MB,1764,0,false,false
2015-01-14 13:04:34 UTC,9,Organization,Investment-IT-Architecture,17,Fall-2014-Documentation,public,34.63MB,34632,0,false,false
2015-01-14 13:10:39 UTC,9,Organization,Investment-IT-Architecture,19,Winter-2015-Projects-Documents,public,43.58MB,43576,0,false,false
2015-01-14 13:15:22 UTC,9,Organization,Investment-IT-Architecture,20,OntoComAPI,public,59.05MB,59048,0,false,false
2015-01-15 13:54:36 UTC,6,Organization,Enterprise-Collaboration,21,ac-sandbox,public,100KB,100,0,false,false
2015-01-16 18:30:16 UTC,38,Organization,EC-PORTAL-8,22,JSSnippets,public,200KB,200,0,false,false
2015-01-19 20:09:29 UTC,38,Organization,EC-PORTAL-8,24,QuickLinksWidget,public,244KB,244,0,false,false
2015-01-19 20:14:40 UTC,38,Organization,EC-PORTAL-8,25,FIAI_SummaryForm,public,400KB,400,0,false,false
2015-01-20 19:13:17 UTC,38,Organization,EC-PORTAL-8,26,FIAI_Document_TreeViewer,public,196KB,196,0,false,false
2015-01-20 21:08:22 UTC,11,Organization,TE-BI-One-PnL,27,SSIS,public,1.14MB,1140,0,false,false
2015-01-20 21:11:38 UTC,11,Organization,TE-BI-One-PnL,28,PerfTest,public,168KB,168,0,false,false
2015-01-20 21:13:50 UTC,11,Organization,TE-BI-One-PnL,29,Documents,public,332KB,332,0,false,false
2015-01-21 15:50:04 UTC,11,Organization,TE-BI-One-PnL,31,Excel-AddIn,public,2.62MB,2624,0,false,false
2015-01-21 20:22:27 UTC,41,Organization,EC-eSearch,32,Search.ServiceV2,public,4.51MB,4509,0,false,false
2015-01-22 16:12:53 UTC,38,Organization,EC-PORTAL-8,33,Search-Text-Box,public,212KB,212,0,false,false
2015-01-22 19:16:07 UTC,43,Organization,EC-ACE,35,DirectoryServices,public,5.53MB,5532,0,false,false
2015-01-23 20:18:43 UTC,45,Organization,TE-BI-SSRS,36,NR-PnL-Report,public,164KB,164,0,false,false
2015-01-26 14:49:58 UTC,38,Organization,EC-PORTAL-8,37,FIAI_Entity_Treeviewer,public,34.32MB,34316,0,false,false
2015-01-26 15:45:05 UTC,41,Organization,EC-eSearch,38,Endeca.Record.Update,public,112KB,112,0,false,false
2015-01-26 15:52:21 UTC,41,Organization,EC-eSearch,39,EID.Endeca.Update,public,108KB,108,0,false,false
2015-01-26 18:06:41 UTC,11,Organization,TE-BI-One-PnL,40,OnePnLService,public,1.00MB,1004,0,false,false
2015-01-26 19:10:13 UTC,11,Organization,TE-BI-One-PnL,41,Tabular-Model,public,1.37MB,1368,0,false,false
2015-01-29 19:11:24 UTC,47,Organization,TE-BI-Prime-Broker,43,ETL,public,892KB,892,0,false,false
2015-01-30 19:35:08 UTC,39,User,wangf2,44,IDCCDashboard-Widgets,public,224KB,224,0,true,false
2015-02-02 17:51:33 UTC,47,Organization,TE-BI-Prime-Broker,45,PowerPivot-model,public,1.54MB,1536,0,false,false
2015-02-03 14:45:31 UTC,38,Organization,EC-PORTAL-8,46,Page-Request-Filter,public,108KB,108,0,false,false
2015-02-03 17:17:07 UTC,18,User,dalrymm,47,browserify-iwidget-sample,public,3.09MB,3088,0,false,false
2015-02-03 21:04:03 UTC,51,Organization,EDP-EDW-SSIS,48,EDW_Staging,public,280KB,280,0,false,false
2015-02-03 21:07:38 UTC,51,Organization,EDP-EDW-SSIS,49,IS_Catalogs,public,96KB,96,0,false,false
2015-02-03 21:12:47 UTC,52,Organization,EDP-EDW-Oracle,50,BSAR_Release,public,160KB,160,0,false,false
